T,abs,frac,err
0.10, 1440.0 , 0.96 , 0.0
0.20, 1447.47 , 0.9649800000000001 , 0.0006663635674617832
0.25, 1385.46 , 0.92364 , 0.0018261598254788829
0.30, 1147.96 , 0.7653066666666667 , 0.005752797592013833
0.33, 908.9399999999999 , 0.6059599999999999 , 0.007160071352527736
0.36, 702.34 , 0.4682266666666667 , 0.010342385521319776
0.37, 627.46 , 0.41830666666666666 , 0.009074536097630856
0.40, 449.36 , 0.29957333333333336 , 0.010086726061944445
0.45, 249.6 , 0.1664 , 0.00891108340256152
0.50, 137.57 , 0.09171333333333333 , 0.00636788730872771
0.60, 51.580000000000005 , 0.03438666666666667 , 0.004658655943124425
0.70, 26.759999999999998 , 0.017839999999999998 , 0.003354304402509015
